vehicle_id,make,model,year,type,fuel_type,transmission,color,price,mileage_kmpl,range_km,battery_kwh,engine_cc,seating_capacity,km_driven,condition_score,owner_name,owner_contact,registration_number,city,status,insurance_valid_till,last_service_date,age_years,resale_value
VH0969,Hyundai,Grand i10,2017,Hatchback,Petrol,AMT,Red,618265,38.4,,,1050.0,5,21598,5.8,Gurpreet Dubey,9512824934,CH72ZC9062,Chandigarh,Under Maintenance,2027-03-03,2022-05-17,7,258683
VH0241,Hero,Passion Pro,2015,Motorcycle,Petrol,Manual,Brown,70181,16.2,,,300.0,2,57257,3.6,Deepak Mishra,9584392493,BR10SH5237,Patna,Sold,2025-10-09,2022-02-04,9,21054
VH0820,TVS,Ntorq 125,2022,Scooter,Petrol,Manual,Orange,112484,55.0,,,100.0,2,104866,5.5,Deepak Pandey,9595682408,PB76FB6781,Ludhiana,Available,2026-04-05,2024-08-07,2,82690
VH0693,Tata,Tigor,2016,Sedan,Petrol,AMT,White,699488,16.6,,,1350.0,5,77419,3.4,Anjali Kaur,9861614695,BR36GU1273,Patna,Available,2026-01-20,2024-11-23,8,209846
VH0421,Ather,450X,2024,Electric Scooter,Electric,Automatic,Silver,200742,,143.0,42.5,,2,15814,9.5,Simran Chauhan,9564854683,TS60EC6198,Hyderabad,Available,2025-10-03,2022-04-01,0,197567
VH0086,Ola Electric,S1 Pro,2020,Electric Scooter,Electric,Automatic,Yellow,181062,,258.0,12.9,,2,89152,5.0,Gurpreet Pandey,9146914391,WB20FF3712,Kolkata,Available,2025-05-01,2024-06-28,4,106980
VH0999,Mahindra,Scorpio,2021,SUV,Petrol,Manual,Silver,1804968,21.3,,,1750.0,5,63917,6.4,Gurpreet Yadav,9703487252,MH62OK5265,Pune,Sold,2024-10-04,2024-02-16,3,1256407
VH0366,Mahindra,XUV300,2018,Compact SUV,CNG,DCT,Orange,1008908,32.9,,,1450.0,5,28869,6.0,Deepak Chauhan,9625288882,RJ74RH2416,Jaipur,Sold,2027-04-26,2024-08-27,6,495505
VH0023,Mahindra,KUV100,2016,Micro SUV,Petrol,Manual,Blue,759919,23.1,,,1150.0,5,113792,2.2,Rahul Gupta,9527849588,MH40ZH4652,Pune,Available,2024-05-22,2023-07-26,8,227975
VH0241,Hero,Passion Pro,2015,Motorcycle,Petrol,Manual,Brown,70181,16.2,,,300.0,2,57257,3.6,Deepak Mishra,9584392493,BR10SH5237,Patna,Sold,2025-10-09,2022-02-04,9,21054
VH0589,Skoda,Kushaq,2016,Compact SUV,Petrol,Manual,Brown,1186250,39.3,,,1300.0,5,4777,5.8,Sunita Pandey,9640480318,KA64XY9924,Bangalore,Available,2027-09-29,2023-08-17,8,421383
VH0737,Ather,450X,2018,Electric Scooter,Electric,Automatic,Blue,184047,,295.0,20.9,,2,80391,4.3,Suresh Rao,9835240767,KL65JK9690,Kochi,Available,2025-03-06,2022-11-13,6,80908
VH0762,MG,ZS EV,2024,Electric SUV,Electric,Automatic,Maroon,3215761,,234.0,6.2,,5,22210,9.3,Neha Yadav,9270456296,BR47RH9697,Patna,Available,2027-07-24,2023-04-09,0,3144338
VH0942,Toyota,Innova Crysta,2015,MPV,CNG,Manual,Green,2174129,33.7,,,1700.0,7,62581,3.4,Divya Menon,9791250747,BR68XA5286,Patna,Available,2026-10-17,2023-05-25,9,652238
VH0072,Honda,Jazz,2020,Hatchback,Petrol,Manual,Black,1181856,38.6,,,1050.0,5,46390,6.5,Manoj Dubey,9340781088,KA74QG3535,Bangalore,Sold,2027-02-13,2024-01-23,4,748835
VH0408,TVS,iQube Electric,2021,Electric Scooter,Electric,Automatic,White,141371,,109.0,18.6,,2,6035,8.3,Manoj Agarwal,9288962695,GJ18AI5551,Ahmedabad,Sold,2026-09-22,2022-02-10,3,106588
VH0260,Volkswagen,Virtus,2018,Sedan,Petrol,DCT,Maroon,1307252,33.8,,,1750.0,5,96940,3.8,Nisha Yadav,9931284997,BR72PI6024,Patna,Sold,2024-10-09,2022-09-01,6,553046
VH0052,Hero,HF Deluxe,2021,Motorcycle,Petrol,Manual,Silver,65083,38.6,,,200.0,2,37572,7.2,Anjali Chauhan,9386874458,MH36YZ7798,Mumbai,Sold,2025-09-03,2024-09-29,3,47017
VH0199,Hero,HF Deluxe,2017,Motorcycle,Petrol,Manual,Brown,65042,47.1,,,200.0,2,42410,5.1,Vikram Nair,9995616775,DL55CV8133,Delhi,Available,2024-05-17,2022-06-28,7,25860
VH0789,Bajaj,Pulsar NS200,2019,Motorcycle,Petrol,Manual,Yellow,164441,32.4,,,250.0,2,14173,7.0,Meera Joshi,9626633153,KL81NM8129,Kochi,Available,2025-10-20,2024-09-18,5,96333
